id,predicted_price
2591820310,368078.2353467711
7974200820,850376.3165393615
7701450110,1262463.009019817
9522300010,1772990.605390358
9510861140,707944.8569306785
1761300310,252778.68094968528
7732410120,806022.3781085459
7010701383,634174.8077284653
291310170,423332.50089923764
4232901990,572145.1776905664
6840701125,651702.7577924546
3971700580,421998.85899903794
4202400078,250410.2947105996
6064800090,356881.13586687756
2626119028,203968.34147982352
3303980660,1003494.8209921229
862000020,894069.2521834433
2386000070,834680.0637670149
1138000450,371137.48286344425
1775800420,478606.03812914103
2291401425,374486.8960809806
2025770560,908761.6254896951
3525069037,643065.3094953621
9324800450,573948.9715892285
8080400136,546136.0994638716
8651540040,498890.64145998674
9407001790,261300.24856557316
1773101530,207879.35758258685
9432900250,337607.2557046201
1794500695,657378.8586761676
2220069003,355487.7558715394
923000120,521380.4040204427
5728000060,563888.3279165477
16000200,240492.67718597455
1926059094,443375.93255128333
6672900220,1065916.466400323
3629860060,845038.20877134
1822069109,400285.68441442406
6675500105,371010.15263429994
249000180,1861293.3007668783
226059065,487301.5136011512
396100110,261479.06029747022
9264450460,318280.48790540354
7853361210,391063.3875159517
9474700020,269821.07004346146
421000455,260035.20284101332
3755200220,405726.1766047437
7960100075,482128.4098102153
9477100490,415864.95159494685
9138100350,834848.191657256
1624049275,415746.85688566964
2770606890,494478.060755286
1157200189,351448.5956947993
2770601800,492210.86920486775
9301300805,560291.7671016958
2325069032,1114909.4902683801
1021079099,338049.7110863328
7215730040,742239.3543380954
1853200080,424647.65758957516
3224600340,703097.0118859069
3222049120,467233.0779463974
2113700025,273869.11187421443
7893207925,205966.88701768644
3586501085,593553.9442006373
8024200010,372803.6368473215
7116500705,163405.03416378456
1598600209,304718.3901351726
7204200025,1161541.170630629
4206901505,580534.4475524272
2937300440,937363.897892512
7205000180,315113.96782352333
8718500665,365220.9567987903
5318101765,1015661.8817764745
4122700020,1030631.328898053
8078700020,516671.9865180705
3303980680,927722.5605683401
8924100372,1265948.2671920036
2781270210,210207.4662584616
519000043,532562.1123083212
3225069301,1285654.300961437
151000075,859256.2969198155
2297400020,437681.5609929415
6617500085,640362.4068474699
104510180,242083.33792756067
3528900060,993895.4310130407
3345100286,491497.5532322168
1226039130,414110.7173962215
8712100720,820949.6671253752
3037200010,418581.49846149463
3626039268,419988.8693665495
104510230,244535.92094087374
5112800060,404293.6001067765
6072400280,636408.1814293457
5317100570,1020330.1063143009
9528102993,558734.5770048926
2919201095,507029.4697323027
6181400920,252143.5826164248
185000161,242721.04817107978
8691400010,786093.3805938656
3345700165,569069.5302102632
6151800486,252517.09277141868
